,hotel_id,hotel_name,first recommendation,distance 1,second recommendation,distance 2,thrid recommendation,distance 3
0,75737,Night Theater District,Night Times Square,0.8736773639288656,Hotel Mela,0.9150827545391452,Paramount Hotel New York,0.932268223474115
1,93401,Heritage Hotel New York City,Chelsea Savoy Hotel,0.9042769832924087,Clarion Hotel Park Avenue,0.9435307560684218,The Wolcott Hotel,0.9493668725809573
2,224217,Clarion Hotel Park Avenue,Redford Hotel,0.9326564970298526,Bowery's Whitehouse Hotel,0.9416788156480196,Candy Hostel,0.9416788156480196
3,488793,Solita Soho Hotel,Sohotel,0.9120820791947325,NoMo SoHo Hotel,0.9166775152422947,Sheraton Tribeca New York Hotel,0.9186575077094415
4,1028569,Greenwich Hotel,Crosby Street Hotel,0.8533367920167303,Four Seasons Hotel New York Downtown,0.878195733492944,Baccarat Hotel & Residences New York,0.884484368874396
5,1383001,Comfort Inn Manhattan Bridge,Heart of Harlem,0.9309934440657646,Chelsea Art Suites,0.9351796276447836,Easyliving-harlem,0.9402385695332803
6,1733337,Sutton Court Hotel Residences,Hotel Alexander,0.8556624327025936,AKA Sutton Place,0.9046537410754407,Dharma Home Suites JC At Exchange Place,0.9454455274410019
7,1776857,The Langham New York Fifth Avenue,Loews Regency New York Hotel,0.8392721224744752,The Towers at Lotte New York Palace,0.8454426525821025,Four Seasons Hotel New York Downtown,0.8469066840050092
8,2643161,The NoMad Hotel New York,Gramercy Park Hotel,0.8775127682825062,The James New York-NoMad,0.9060242653690566,"The Beekman, A Thompson Hotel",0.9148615500601001
9,7148761,Cassa Hotel Times Square,Cassa Hotel NY 45th Street,0.8379118203053784,YOTEL New York,0.9218579945542544,Cachet Boutique,0.9381715977664689
10,7379289,Brooklyn Hostel - Utica Avenue,YOTEL New York,1.0,Times Square Beds,1.0,Novotel New York Times Square,1.0
11,8541913,Renaissance New York Midtown Hotel,Renaissance New York Times Square Hotel,0.8553702088398627,Fairfield Inn & Suites New York Midtown Manhattan/Penn Station,0.9158122202063751,"The Algonquin Hotel Times Square, Autograph Collection",0.936595312681727
12,9608281,Sago Hotel,PUBLIC,0.8990203933753893,The Ludlow New York City,0.9086045222500951,Hotel on Rivington,0.9126039311212217
13,10036825,Interfaith Retreats,Private Room in Time Square,0.8958841587409293,Oakwood 24 East 38th Street,0.9098330365332568,Chelsea Cabins,0.9116547791401227
14,15646553,Kennedy Suites,Travelodge by Wyndham Jersey City,0.6220355269907728,Rodeway Inn,0.683772233983162,Pelican New Jersey Residences,0.7113248654051871
15,15697497,Studio Apartments,Four Seasons Hotel New York Downtown,0.9503708333014534,The Langham New York Fifth Avenue,0.9594112520765901,citizenM New York Times Square,0.9645336548934046
16,93612,Shoreham,Park Lane Hotel,0.9461833214083498,YOTEL New York,0.9483963240317249,Hudson New York,0.9516731602753373
17,252972,Lafayette International Hostel,Hotel 50 Bowery NYC,1.0,YOTEL New York,1.0,Novotel New York Times Square,1.0
18,260396,The Amsterdam Inn,The Vanderbilt YMCA,0.950852681281701,Jazz on Columbus Circle,0.9527544408738466,Chelsea International Hostel,0.9574371734620626
19,292140,Sohotel,Hotel Mulberry,0.9078263350181089,Solita Soho Hotel,0.9120820791947325,Soho 54,0.9215589762891702
20,295340,Days Inn by Wyndham Brooklyn,Comfort Inn Brooklyn City Center,0.8456966500379081,Oyo Bed & Breakfast,0.8456966500379081,Days Inn by Wyndham Brooklyn Borough Park,0.850303762286976
21,4762540,The Brooklyn Experience,"Brooklyn Way Hotel, BW Signature Collection",0.9230769230769231,The Brooklyn,0.9432952022876258,SoHo Garden Hotel,0.9490352808562375
22,7363884,NobleDEN Hotel,Hotel 50 Bowery NYC,0.8650361882555387,Q&A Residential Hotel,0.8842321038469593,414 Hotel,0.8956919503897107
23,7816364,Executive Hotel LeSoleil,Hilton Garden Inn New York/West 35th Street,0.9422322059165105,YOTEL New York,0.9453376494908791,Avalon Hotel,0.9517662941362859
24,10345260,Dharma Home Suites JC at Paulus Hook,Dharma Home Suites JC At Exchange Place,0.6814034535678452,Downtown Luxury Collection,0.8377785788692375,Dharma Home Suites JC at Grove Station,0.8675467642934956
25,11640620,Hotel Park 79,Apartments Upper West Side,0.6464466094067263,Little Apple Manhattan Inn,0.75,Third Ave House,0.7958758547680684
26,15035436,Be Local Chinatown,Heart of Harlem,1.0,Times Square Beds,1.0,Rostel,1.0
27,93344,The Watson Hotel,Hotel Pennsylvania,0.8489880503685574,The New Yorker a Wyndham Hotel,0.8842273234964413,Hudson New York,0.8888701727025922
28,122016,The Gracie Inn,Courtyard New York Manhattan/Midtown East,0.950852681281701,Holiday Inn Manhattan - Financial District,0.957321040022368,TRYP New York City Times Square South,0.9594112520765901
29,216224,Baisley House Bed and Breakfast,International Student Center,0.8639172365120457,Central Park Studios at Lexington Ave. Co.,0.8686935671402775,American Dream Hostel,0.8837523612561807
30,646432,Signature Suites 455 Inn,Four Points by Sheraton Manhattan Midtown West,0.8968578753741206,Radio City Apartments,0.9533239971990664,Crowne Plaza HY36 Midtown Manhattan,0.9789648419044165
31,651552,Park Slope Bed & Breakfast,Arlington Place Bed and Breakfast,0.7278344730240913,Urban Cowboy B&B,0.7891814893221081,Rugby Gardens B&B,0.8333333333333334
32,675616,The Plaza,"The Ritz-Carlton New York, Central Park",0.8218622872422209,The St. Regis New York,0.823226180146447,The Peninsula New York,0.8265269996916575
33,1218720,"The Standard, High Line",Gansevoort Meatpacking NYC,0.8427131591138995,"The Standard, East Village",0.8438058524052077,Dream Downtown,0.8622986049462824
34,1456416,The Dominick Hotel,The James New York - SoHo,0.8479204939130376,SIXTY SoHo,0.8516557819721521,Royalton Park Avenue,0.884263655687155
35,1508000,A Cozy Mountain Rest Guest House,YOTEL New York,1.0,Times Square Beds,1.0,Heart of Harlem,1.0
36,1947936,Soho Bed and Breakfast,Thomas Family B&B,0.5527864045000421,Bubba and Bean (BB) Lodges,0.8585786437626906,A Garden In Chelsea,0.8740118423302576
37,5535264,The Pier,Holiday Inn Express & Suites Jersey City North - Hoboken,0.9160818641703311,The Westin Jersey City Newport,0.921913119055697,Candlewood Suites Jersey City,0.9250468311004139
38,6582176,Park Hyatt New York,"Mandarin Oriental, New York",0.8174481843403439,Four Seasons Hotel New York,0.8265993391089199,"The Ritz-Carlton New York, Central Park",0.8339876363700202
39,14183968,Days Inn by Wyndham Brooklyn Borough Park,Days Inn by Wyndham Brooklyn Marine Park,0.7427521222862368,La Quinta Inn & Suites Brooklyn East,0.7942016978289894,Townhouse on Greene Guest House,0.8285014148574912
40,93437,Hotel Edison Times Square,The New Yorker a Wyndham Hotel,0.797903826521188,The Manhattan at Times Square Hotel,0.8109067724651614,Row NYC Hotel,0.8156170692398943
41,93565,Hotel Stanford,The Hotel @ Fifth Avenue,0.9044525872125582,The Wolcott Hotel,0.9244056106846266,Hotel Pennsylvania,0.926608523095534
42,121981,Americana Inn,Hotel 31,0.8874234716665809,Royal Park Hotel,0.9006899095105618,Hotel Pennsylvania,0.9036694713969382
43,247805,Ramada by Wyndham Jersey City,Holiday Inn Express & Suites Jersey City North - Hoboken,0.7221954265073307,Candlewood Suites Jersey City,0.7518732641971785,The Holland Hotel,0.7640672238913019
44,673661,Sun Bright Hotel,Big Apple Hostel,0.8456966500379081,Hotel Carter,0.8885443574849294,World Hotel,0.896165173669767
45,1529213,Avenue Plaza Hotel,Comfort Inn Brooklyn,0.8663693790437879,BEST WESTERN Gregory Hotel,0.9101973489866125,Giorgio Hotel,0.9306624754718463
46,1540349,West 46th Street Apartment,Bridgestreet 85 John Street,0.5527864045000421,The Pina - A Private Residence Hotel,0.5527864045000421,United Nations Apartment Hotel,0.7418011102528388
47,1553789,World Center Hotel,"Club Quarters Hotel, World Trade Center",0.7760616871713945,"Club Quarters Hotel, Wall Street",0.8959190758424408,Hilton Garden Inn NYC Financial Center/Manhattan Downtown,0.9229628784228655
48,1930621,Harlem Grand,Candy Hill Harlem,0.8663693790437879,Garden Green Bed and Breakfast,0.8663693790437879,Easyliving-harlem,0.8804771390665607
49,2323069,Sacred Heart Residence,House of the Redeemer,0.5635642195280153,Alma Mathews House,0.6220355269907728,Village Guest House,0.8110177634953863
50,99327,Fitzpatrick Grand Central,Fitzpatrick Manhattan Hotel,0.8062670200186155,"Club Quarters Hotel, Grand Central",0.937415434386759,The Iroquois New York,0.9486102481541495
51,1207039,Elegant Retreats,Times Square World,0.75,Aloft New York Midtown,0.7642977396044842,Time Square Apartments,0.9028714137642736
52,1234559,Holiday Inn New York City - Wall Street,Holiday Inn Express New York City-Wall Street,0.9217868924532899,Holiday Inn Manhattan - Financial District,0.9268316506313639,Elk Hotel,0.9340619526604212
53,1903743,East Village Suites,Saint Marks Place Studio Apartments,0.5917517095361369,Chelsmore Apartments,0.8769085090206672,Days Inn by Wyndham Brooklyn Borough Park,0.9299859957985995
54,7250943,The Evergreen Hostel,Hotel 50 Bowery NYC,1.0,Heart of Harlem,1.0,Times Square Beds,1.0
55,10476799,Cesar Suites at Southampton,Heart of Harlem,1.0,Hotel 50 Bowery NYC,1.0,Times Square Beds,1.0
56,15307647,Splendid Apartment by Times SQ,Heart of Harlem,1.0,YOTEL New York,1.0,Times Square Beds,1.0
57,224221,Library Hotel by Library Hotel Collection,Casablanca Hotel by Library Hotel Collection,0.6649695907201849,Hotel Giraffe by Library Hotel Collection,0.6798051736182071,Hotel Elysee by Library Hotel Collection,0.7828960419510422
58,1206493,388 Bergen House,Hotel Olcott,0.7327387580875757,Times Square West Hostel,0.75,Living Manhattan,0.803883864861816
59,1497821,NY Oyado,The One Hundred,0.7642977396044842,Prive,0.8333333333333334,Hyatt Herald Square New York,0.9557192557229952
60,1738973,Soldiers Sailors Marines Club,Pelican New Jersey Residences,0.9398070734571153,The Vanderbilt YMCA,0.9487603781748879,The Quiet Inn on Central Park,0.9494278262575826
61,6701149,Midtown West Hotel,Elk Hotel,0.8984653834866381,Oakwood at Longacre House,0.8984653834866381,Manhattan Lodging,0.8984653834866381
62,7144541,255West Guesthouse,The International Cozy Inn,0.8399478263433449,Soul Food Mont Morris,0.8814763027685559,Soho Bed and Breakfast,0.8963048305269574
